country,volume,iso_alpha
Cayman Islands,557755,CYM
Seychelles,365427,SYC
China,195912,CHN
Singapore,195704,SGP
South Korea,178268,KOR
British Virgin Islands,141355,VGB
United States,133466,USA
Belize,131997,BLZ
Bahamas,102709,BHS
Estonia,91467,EST
Thailand,56914,THA
Malta,44492,MLT
Antigua and Barbuda,28916,ATG
Hong Kong,27189,HKG
Turkey,22376,TUR
United Kingdom,16440,GBR
Canada,14770,CAN
United Arab Emirates,14449,ARE
Switzerland,13996,CHE
Japan,12113,JPN
Vietnam,12009,VNM
Australia,7922,AUS
Russia,5391,RUS
Indonesia,4208,IDN
India,2853,IND
Gibraltar,2613,GIB
Saint Vincent and the Grenadines,1452,VCT
Malaysia,1244,MYS
Guatemala,1221,GTM
Germany,1147,DEU
Bulgaria,638,BGR
Taiwan,381,TWN
Brazil,375,BRA
Mexico,235,MEX
Philippines,207,PHL
Austria,168,AUT
South Africa,65,ZAF
Slovenia,37,SVN
Italy,28,ITA
France,12,FRA
Lithuania,8,LTU
Liechtenstein,5,LIE
Israel,3,ISR
Argentina,2,ARG
Panama,1,PAN
Norway,1,NOR
